title,author,genre,good_reads_id,checked_out?
Oblivion,David Foster Wallace,Fiction,6749,FALSE
The Orpan Master's Son,Adam Johnson,Fiction,11529868,FALSE
This Is How You Lose Her,Junot Diaz,Fiction,13503109,FALSE
Chronicle In Stone,Ismail Kadare,Ficiton,708124,FALSE
Euripides,Paul Roche,Fiction,22573778,FALSE
NW,Zadie Smith,Ficiton,13537891,FALSE
Sabbatical,John Barth,Fiction,50414,FALSE
Hegemony Or Survival,Noam Chomsky,Non-Fiction,12612,FALSE
The Complete Essays of Montaigne,Michel de Montaigne,Non-Fiction,30736,FALSE
Hopes And Prospects,Noam Chomsky,Non-Fiction,6638829,FALSE
A Supposedly Fun Thing I'll Never Do Again,David Foster Wallace,Non-Fiction,6748,FALSE
Libra,Don Delillo,Ficiton,400,FALSE
God Is Not Great,Christopher Hitchens,Non-Fiction,43369,FALSE
The Goldfinch,Donna Tart,Ficiton,17333223,FALSE
Traffic,Tom Vanderbilt,Non-Fiction,2776527,FALSE
Arguably,Christopher Hitchens,Non-Fiction,10383597,FALSE
Mythologies,Roland Barthes,Non-Fiction,51715,FALSE
The Psychopath Test,Jon Ronson,Non-Fiction,12391521,FALSE
The Italian Secretary,Caleb Carr,Ficiton,149170,FALSE
The Tetherballs of Bougainville,Mark Leyner,Ficiton,131527,FALSE
Big Fish,Daniel Wallace,Ficiton,129984,FALSE
Rebecca,Daphne Du Maurier,Ficiton,17899948,FALSE
In Search of List Time,Marcel Proust,Ficiton,18796,FALSE
Broken April,Ismail Kadare,Ficiton,17902,FALSE
Catch-22,Joseph Heller,Ficiton,168668,FALSE
Watership Down ,Richard Adams,Ficiton,76620,FALSE
Ether Day,Juilie M. Fenster,Non-Fiction,2357328,FALSE
Gift From The Sea,Anne Morrow Lindbergh,Ficiton,77295,FALSE
A Long Way Down ,Nick Hornby,Ficiton,10073,FALSE
Peter Pan ,J.M. Barrie,Ficiton,34268,FALSE
Alena,Rachel Pastan,Ficiton,18079673,FALSE
The Bell Jar,Sylvia Plath,Ficiton,6514,FALSE
Shotgun Lovesongs,Nickolas Butler,Ficiton,17934521,FALSE
My Struggle,Karl Ove Knausgaard,Ficiton,16282857,FALSE
The New Jim Crow,Michelle Alexander,Non-Fiction,6792458,FALSE
The Recognitions,William Gaddis,Ficiton,395058,FALSE
Language and the Problems of Knowledge,Noam Chomsky,Non-Fiction,454625,FALSE
Girl With Curious Hair,David Foster Wallace,Ficiton,8822819,FALSE
Area 51,Anne Jacobsen,Non-Fiction,11305364,FALSE
Brief Interviews with Hedeous Men,David Foster Wallace,Ficiton,6753,FALSE
When You are Engulfed in Flames,David Sedaris,Non-Fiction,1044355,FALSE
The Girl on the Train,Paula Hawkins,Ficiton,22557272,FALSE
Think Smart,Richard Restak,Non-Fiction,6407625,FALSE
Personality Disorders,Linda N. Bayer,Non-Fiction,4020323,FALSE
The Twenty-Seventh City,Jonathan Frazen,Ficiton,12829,FALSE
Lost in the Funhouse,John Barth,Ficiton,3453662,FALSE
Manufacturing Consent,Noam Chomsky,Non-Fiction,12617,FALSE
The Reader,Bernhard Schlink,Ficiton,101299,FALSE
The Stranger,Albert Camus,Ficiton,22401105,FALSE
The Plague,Albert Camus,Ficiton,11989,FALSE
The Myth of Sisyphus,Albert Camus,Ficiton,11987,FALSE
"Sex, Drugs, and Cocoa Puffs",Chuck Klosterman,Non-Fiction,599,FALSE
The Illumination,Kevin Brockmeier,Ficiton,8472655,FALSE
Blindness,Jose Saramago,Ficiton,2526,FALSE
Less Than Zero,Bret Easton Ellis,Ficiton,9915,FALSE
The Pale King,David Foster Wallace,Ficiton,9443405,FALSE
How Music Works,David Byrne,Non-Fiction,13235689,FALSE
A Confederacy of Dunces,John Kennedy Toole,Ficiton,310612,FALSE
Bastard Out of Carolina,Dorthy Allison,Ficiton,25354,FALSE
Geek Love,Katherine Dunn,Ficiton,13872,FALSE
Civil War Land In Bad Decline,George Saunders,Ficiton,484121,FALSE
What Just Happened,James Gleick,Non-Fiction,486685,FALSE
Free Will,Sam Harris,Ficiton,13259270,FALSE
Running With Scissors,Augusten Burroughs,Non-Fiction,242006,FALSE
The Brief and Frightening Reign of Phil,George Saunders,Ficiton,28749,FALSE
The Curious Incident of the Dog in the Night,Mark Haddon,Fiction,3437,FALSE
As the Romans Do,Alan Epstein,Ficiton,751255,FALSE
Double Whammy,Carl Hiaasen,Ficiton,13068,FALSE
Jesus's Son,Denis Johnson,Ficiton,608287,FALSE
"Fate, Time, and Language",David Foster Wallace,Non-Fiction,8317976,FALSE
A Lover's Discourse,Roland Barthes,Non-Fiction,105010,FALSE
By the River Piedra I Sat Down and Wept,Paulo Coehlo,Ficiton,1428,FALSE
The Fountainhead,Ayn Rand,Ficiton,2122,FALSE
The Virgin Way,Richard Branson,Non-Fiction,22129114,FALSE
Life After God,Douglas Coupland,Ficiton,22304,FALSE
The Mezzanine,Nicholson Baker,Ficiton,247000,FALSE
A Short History Of Nearly Everything,Bill Bryson,Non-Fiction,21,FALSE
Freedom,Johathan Frazen,Ficiton,7905092,FALSE
The Reluctant Fundamentalist,Mohsin Hamid,Ficiton,88815,FALSE
Programming as if People Mattered,Nathaniel S. Borenstein,Non-Fiction,1251788,FALSE
How the Mind Works,Steven Pinker,Non-Fiction,835623,FALSE
I Capture the Castle,Dodie Smith,Ficiton,31122,FALSE
The Language Instinct,Steven Pinker,Non-Fiction,5755,FALSE
Command and Control,Eric Schlosser,Non-Fiction,6452798,FALSE
The Well-Grounded Rubyist,David A. Black,Non-Fiction,3892688,FALSE
Utopia,Thomas More,Ficiton,18414,FALSE
Fahrenheit 451,Ray Bradbury,Ficiton,17470674,FALSE
"How Late it was, How Late",James Kelman,Ficiton,89208,FALSE
Nausea,Jean-Paul Sartre,Ficiton,298275,FALSE
Gravity's Rainbow,Thomas Pynchon,Ficiton,415,FALSE
Bleeding Edge,Thomas Pynchon,Ficiton,17208457,FALSE
The Stuff of Thought,Steven Pinker,Non-Fiction,373969,FALSE
The Sound of Things Falling,Juan Gabriel Vasquez,Fiction,16171259,FALSE
Every Love Story Is A Ghost Story,David Foster Wallace,Non-Fiction,13589124,FALSE
Aftershock,Robert B. Reich,Non-Fiction,7845023,FALSE
The Corrections,Jonathan Frazen,Ficiton,3805,FALSE
In The Dust Of This Planet,Eugene Thacker,Non-Fiction,11944741,FALSE
Tooth Imprints in the Corn Dog,Mark Leyner,Ficiton,131530,FALSE
An Object of Beauty,Steve Martin,Ficiton,7907803,FALSE
The Great Gatsby,F. Scott Fitzgerald,Fiction,4671,FALSE
Black Swan Green,David Mitchell,Fiction,14316,FALSE
The Pleasure of My Company,Steve Martin,Fiction,10867,FALSE
Brave New World,Aldous Huxley,Fiction,5129,FALSE
The Crying Lot of 49,Thomas Pynchon,Fiction,2794,FALSE
An American Tragedy,Theodore Dreiser,Fiction,331319,FALSE
Consider the Lobster,David Foster Wallace,Non-Fiction,6751,FALSE
The Man Who Planted Trees,Jean Giono,Fiction,757438,FALSE
Making the Future,Noam Chomsky,Non-Fiction,8242840,FALSE
A Life of Dissent,Noam Chomsky,Non-Fiction,62700,FALSE
Generation X,Douglas Coupland,Fiction,3378,FALSE
The Picture of Dorian Gray,Oscar Wilde,Fiction,5297,FALSE
The Essential Chomsky,Noam Chomsky,Non-Fiction,1395714,FALSE
Possible Side Effects,Augusten Burroughs,Non-Fiction,61115,FALSE
SlaughterHouse-Five,Kurt Vonnegut,Fiction,4981,FALSE
You Don't Know Me but You Don't Like Me,Nathan Rabin,Non-Fiction,16130606,FALSE
Beloved,Toni Morrison,Fiction,6149,FALSE
American Pastoral,Philip Roth,Fiction,11650,FALSE
Wild,Cheryl Strayed,Fiction,12262741,FALSE
The Pearl That Broke Its Shell,Nadia Hashimi,Ficiton,18505784,FALSE
The Chosen,Chaim Potok,Ficiton,187181,FALSE
Shopgirl,Steve Martin,Fiction,10873,FALSE
In A Pig's Eye,Judie Wolkoff,Fiction,485651,FALSE
In The End,Alexandra Rowland,Fiction,15728620,FALSE
The Master and the Margarita,Mikhail Bulgakov,Ficiton,117833,FALSE
Their Eyes Were Watching God,Zora Neale Hurston,Fiction,37415,FALSE
Pale Fire,Vladimir Nabokov,Fiction,7805,FALSE
The Perks of Being a Wallflower,Stephen Chbosky,Ficiton,22628,FALSE
Ethan Frome,Edith Wharton,Fiction,297442,FALSE
A Young Doctor's Notebook,Mikhail Bulgakov,Ficiton,15956705,FALSE
The Little Prince,Antoine De Saint-Exupery,Fiction,157993,FALSE
The Best American Essays 2013,Cheryl Strayed,Non-Fiction,17166000,FALSE
Blue Nights,Joan Didion,Non-Fiction,10252302,FALSE
Never Let Me Go,Kazou Ishiguro,Ficiton,6334,FALSE
Stoner,John Williams,Ficiton,166997,FALSE
"My Cousin, My Gastroenterologist",Mark Leyner,Fiction,131525,FALSE
The Year of Magical Thinking,Joan Didion,Non-Fiction,7815,FALSE
Atlas Shrugged,Ayn Rand,Fiction,662,FALSE
Infinite Jest,David Foster Wallace,Fiction,6759,FALSE
Pictures From an Institution,Randall Jarrell,Fiction,80989,FALSE
A High Wind in Jamaica,Richard Hughes,Fiction,188458,FALSE
Rogue States ,Noam Chomsky,Non-Fiction,12629,FALSE
Lord of the Flies,William Golding,Fiction,7624,FALSE
The Anatomy of Evil,Michael H. Stone,Non-Fiction,6387180,FALSE
The Naked and the Dead,Norman Mailer,Fiction,12467,FALSE
This Side of Paradise,F. Scott Fitzgerald,Fiction,46165,FALSE
Wittgenstein's Mistress,David Markson,Fiction,51506,FALSE
Good In Bed,Jennifer Weiner,Fiction,14748,FALSE
Animal Farm,George Orwell,Fiction,7613,FALSE
Attention Deficit Disorder,Brad Listi,Fiction,341716,FALSE
The Expanding Circle,Peter Singer,Non-Fiction,3026168,FALSE
"In Other Rooms, Other Wonders",Daniyal Mueenuddin,Fiction,4657432,FALSE
The Undercover Economist,Tim Harford,Non-Fiction,70420,FALSE
Pastoralia,George Saunders,Fiction,14295,FALSE
The Catcher in the Rye,J.D.Salinger,Fiction,5107,FALSE
Love in the Time of Cholera,Gabriel Garcia Marquez,Fiction,9712,FALSE
As I Lay Dying,William Faulkner,Fiction,77013,FALSE
The Alchemist,Paulo Coehlo,Fiction,865,FALSE
The Last Holiday,Gil Scott-Heron,Non-Fiction,2506146,FALSE
Portraits from Memory,Bertrand Russell,Non-Fiction,1010980,FALSE
The Brookyln Follies,Paul Auster,Fiction,446,FALSE
The Brief and Wondrous Life of Oscar Wao,Junot Diaz,Fiction,297673,FALSE
There Are No Children Here,Alex Kotlowitz,Non-Fiction,41918,FALSE
The Rebel,Albert Camus,Fiction,11990,FALSE
Trout Fishing in America,Richard Brautigan,Fiction,63913,FALSE
This is Water,David Foster Wallace,Non-Fiction,5986375,FALSE
Where I was From,Joan Didion,Non-Fiction,423,FALSE
The Remains of the Day,Kazou Ishiguro,Fiction,28921,FALSE
The Mayor's Tongue,Nathaniel Rich,Fiction,2246240,FALSE
Adventure of Ideas,Alfred North Whitehead,Non-Fiction,440366,FALSE
Ginnie and Geneva,Catherine Woolley,Fiction,13624341,FALSE
Barrel Fever,David Sedaris,Non-Fiction,4143,FALSE
Mozart's Brain and the Fighter Pilot,Richard Restak,Non-Fiction,344472,FALSE
Americanah,Chimamanda Ngozi Adichie,Fiction,15796700,FALSE
Discipline and Punish,Michel Foucault,Non-Fiction,80369,FALSE
Failed States,Noam Chomsky,Non-Fiction,55227,FALSE
The Satanic Verses,Salman Rushdie,Fiction,12781,FALSE
The Night Stalker,Philip Carlo,Non-Fiction,486050,FALSE
The Lowland,Jhumpa Lahiri,Fiction,17262100,FALSE
Happy City,Charles Montgomery,Non-Fiction,13330588,FALSE
I am America,Stephen Colbert,Non-Fiction,611298,FALSE
The Man Who Ate the 747,Ben Sherwood,Fiction,866807,FALSE
How to Get Filthy Rich in Rising Asia,Mohsin Hamid,Fiction,15815364,FALSE
It's Beginning to Hurt,James Lasdun,Fiction,6351611,FALSE
Ayn Rand and the World She Made,,Non-Fiction,3561809,FALSE
Word Freak,Stefan Fatsis,Non-Fiction,8954,FALSE
The Metamorphosis and The Trial,Franz Kafka,Fiction,2544004,FALSE
I is an Other,James Geary,Non-Fiction,10385841,FALSE
Good Without God,Greg M. Epstein,Non-Fiction,6362097,FALSE
Maybe A Miracle,Brian Strause,Fiction,114425,FALSE
The Poe Reader,Edgar Allan Poe,Fiction,306632,FALSE
A Heartbreaking Work of Staggering Genius,Dave Eggers,Fiction,4953,FALSE
Small Gods,Terry Pratchett,Fiction,34484,FALSE
Hey Nostradamus!,Douglas Coupland,Fiction,3381,FALSE
The Jungle,Upton Sinclair,Fiction,41681,FALSE
A Wrinkle in Time,Madeleine L'engle,Fiction,18131,FALSE
The Kite Runner,Khaled Hosseini,Fiction,77203,FALSE
Story of the Eye,Georges Bataille,Fiction,436806,FALSE
Heart of Darkness,Joseph Conrad,Fiction,4900,FALSE
The Astonishing Hypothesis,Francis Crick,Non-Fiction,399710,FALSE
The Idiot,Fyodord Dostoevsky,Fiction,12505,FALSE
Why Does the World Exist,Jim Holt,Non-Fiction,8854815,FALSE
How to be Alone,Jonathan Frazen,Non-Fiction,666215,FALSE
The White Album,Joan Didion,Non-Fiction,421,FALSE
"Everything Ravaged, Everything Burned",Wells Tower,Fiction,4291946,FALSE
1984,George Orwell,Fiction,5470,FALSE
The Broom of the System,David Foster Wallace,Fiction,6750,FALSE
White Noise,Don Delillo,Fiction,11762,FALSE
Angela's Ashes,Frank McCourt,Non-Fiction,252577,FALSE
The River Why,David James Duncan,Fiction,23196,FALSE
The Female Eunuch,Gemaine Greer,Non-Fiction,98532,FALSE
The Pickwick Papers,Charles Dickens,Fiction,229432,FALSE
The Gilded Age,Mark Twain,Fiction,13158799,FALSE
A Tale of Two Cities,Charles Dickens,Fiction,1953,FALSE
Personal Recollections of Joan of Arc,Mark Twain,Fiction,89301,FALSE
Great Expectations,Charles Dickens,Fiction,2623,FALSE
Oliver Twist,Charles Dickens,Fiction,18254,FALSE
Christmas Book,Charles Dickens,Fiction,812815,FALSE
Sixty Stories ,Donald Barthelme,Fiction,118345,FALSE
Middlesex,Jeffery Eugenides,Fiction,2187,FALSE
War and Peace,Leo Tolstoy,Fiction,656,FALSE
Invisible Man,Ralph Ellison,Fiction,16981,FALSE
Moth Smoke,Mohsin Hamid,Fiction,440777,FALSE
The Basic Writings of Bertrand Russell,Bertrand Russell,Non-Fiction,51787,FALSE
Etu Babe,Mark Leyner,Fiction,131526,FALSE
A Guide for the Perplexed,E.F. Schumacher,Non-Fiction,313765,FALSE
Dress Your Family in Corduroy and Denim,David Sedaris,Non-Fiction,10176,FALSE
"Godel, Escher, Bach",Douglas R. Hofstadter,Non-Fiction,24113,FALSE
The Iliad,Homer,Fiction,1371,FALSE
The Adventures of Huckleberry Fin,Mark Twain,Fiction,52154,FALSE
The Beautiful and the Dammed,F. Scott Fitzgerald,Fiction,4708,FALSE
Ginnie and the Wedding Bells,Catherine Woolley,Fiction,1780492,FALSE
High Cotton,Darryle Pinckney,Fiction,346965,FALSE
